idx,config_id,oob_model_count,force_std_rms_oob,force_std_max_coord_oob,force_std_max_atomnorm_oob,force_std_p95_atomnorm_oob,source
2028,99a95989ac7175d1abe952b19b7e2f2d8b3dbb9c,2,0.10849688237450149,0.2337667349999066,0.27649277071340234,0.2698911187919984,bi11-3_samples
2029,60229b9bad217fb9114369adeb2240a134145622,2,0.0798995121770073,0.16723809747870166,0.22741378631118034,0.2210821228316618,bi11-3_samples
2030,5518f98237a769c7d5d4dd24bcafdaf5cf533f6e,2,0.08345237640369403,0.23759844722830445,0.2492917303245362,0.23214176244304968,bi11-3_samples
2031,d683662d3c1a14cc28e8ab185731cc43eceff23d,1,0.0,0.0,0.0,0.0,bi11-3_samples
2032,a62943939fc76337b7fd917cef600a9469112817,5,0.09132855166976095,0.1444375222543744,0.19536363750730873,0.19014709101029828,bi11-3_samples
2033,440984b9bdc5c27d72f61a870e8cc28b64524723,4,0.1496079281322978,0.32252050720780184,0.37707171292199454,0.36444263826874856,bi11-3_samples
2034,49f200e43bd68595e05a6f821d8f1cadef9417bd,2,0.07700514968110582,0.17742649147453718,0.2146910428148526,0.18738706470222705,bi11-3_samples
2035,79f0e4dd3dc2fcdcc971235b51cd5291a429a866,4,0.09508222063253767,0.21787468898595808,0.25295790710772387,0.24345990376546983,bi11-3_samples
2036,c7aa4160d2fafbcad0115b2ea988f330b389032c,3,0.08607501394959265,0.22103919110317855,0.25493521259802293,0.2229717995745109,bi11-3_samples
2037,1eb879c7a2ba9c38c991d53565976a99e00826ea,2,0.12442325691884384,0.328026651223832,0.371085974686141,0.32829468414521173,bi11-3_samples
2038,49f930f1b5f8763ee2132a673f42549359c01800,2,0.070442776457113,0.1465960429911714,0.18475265024800103,0.1807525956099394,bi11-3_samples
2039,e1a0cfac356a3e2903a15bc941974a502793ef96,3,0.08480695561966535,0.17271536479417798,0.21734492396719457,0.21030662638376868,bi11-3_samples
2040,cc7eeed587ca19507d9ea85e7c638e865362bbcc,1,0.0,0.0,0.0,0.0,bi11-3_samples
2041,c939698e8c5f79e2b55e38702f0104ca5b33ae18,1,0.0,0.0,0.0,0.0,bi11-3_samples
2042,02dd3ee1bb692cdafab73a7283517340078e5319,2,0.10327874238912867,0.23385632988136834,0.24774721712961725,0.2446575172450065,bi11-3_samples
