idx,config_id,true_energy,oob_model_count,energy_std_oob,source
120,6c750c588f1c556b4882cef8249dd95926be12ec,-64251.43359375,1,0.0,bi11-3
121,434cfa7fcfd07cebff1a0ba778b43502dab958a6,-64250.94921875,5,0.11115122053090032,bi11-3
122,90ed60f6bd831c1d653a56f38198575c7033ada3,-64251.48828125,1,0.0,bi11-3
123,1df67530ad1f41f8f56cea16c69eec97aff98974,-64251.66796875,3,0.10874464785032277,bi11-3
124,27603fc623373707b9a389774949360bcd75b2ef,-64251.359375,3,0.0828414985791636,bi11-3
125,ef89f3cd1f38d0c72c82bb945d04830cfb4d41f3,-64251.7109375,2,0.11688505299152879,bi11-3
126,d69bd4b3431dd37bb8ca444b2b06949a8fe14688,-64251.6484375,1,0.0,bi11-3
127,016e141273cae9d1d79a2f8bafd85a1c7afab441,-64251.74609375,1,0.0,bi11-3
128,e5ab9ad53234c3b52230de790c4f63f8270b703f,-64251.203125,1,0.0,bi11-3
129,2b2b0b4367a07989a2cb8cbc695cae9a96f4e2eb,-64250.86328125,2,0.053319939474829534,bi11-3
130,efc0b82ad7d26f24caf3af66e958a7a45d546ed0,-64251.14453125,5,0.10914246772750763,bi11-3
131,ec097224df9a98ca615694663eb3de21b7c9564f,-64251.2421875,3,0.11741961451386511,bi11-3
132,cf2b23c84d57c62058f213a0cda7e0a666eb172d,-64250.5390625,3,0.11293959846389441,bi11-3
133,089722437e5c7d5a290cae85c9c652cb1ed19f2a,-64251.29296875,4,0.12164001697829345,bi11-3
134,62dfc5f6a98350726354b43c9359f714f1957e72,-64251.046875,5,0.10346333999787996,bi11-3
135,89ad4e7518296a40eaa0037975fda762e9f65ebc,-64251.72265625,2,0.19914138849903695,bi11-3
136,2d4a5f8876b30f237904594c0920b85df3a3b26e,-64251.27734375,5,0.10857359484356999,bi11-3
137,85d1de079b1713d1a8eca2439d739816ca2eabc2,-64251.21875,5,0.10665886883580523,bi11-3
138,acc299084ef4a820ecd3b1b5554d413ad6c44e26,-64251.2890625,3,0.14796067173129257,bi11-3
139,4cf7c4364696f849f6959e76343b4f23d5f0f19e,-64251.6328125,3,0.05635640851704034,bi11-3
140,6825937d39de97c66a55404f8e61ccb6289188bd,-64250.51171875,3,0.05144489576422552,bi11-3
141,dcff6f443886477a25cae96506318050b20a6080,-64251.08984375,4,0.12296814964110492,bi11-3
142,ef93fffa29cd300c0dd118b78e3561a012cd48db,-64251.59765625,4,0.11965284267542457,bi11-3
143,19bdb2da130fff8c287ef540c80bf4eb7d734306,-64250.85546875,0,,bi11-3
144,5d7f4e1af03ccd226b20437edf7e69a1cea7434d,-64250.60546875,1,0.0,bi11-3
145,d824f168c6249d3ea3a9aa16f0f6bcf6a22efe3b,-64251.35546875,1,0.0,bi11-3
146,77ea8bd0286ac58b22e32bae1c423ba31e5d4dcb,-64251.47265625,1,0.0,bi11-3
147,4b28166feedaa671eb7286052b232dcf531f2c2c,-64251.84375,2,0.05356930667529788,bi11-3
