idx,config_id,true_energy,oob_models_energy,oob_models_force,energy_std_oob,force_std_rms_oob,source
2075,717f3729cf6f6e9d5e9f31fcf687d0b29cc866d9,-64250.40234375,2,2,0.16349624640563634,0.07163289515864861,bi11-3_samples
2076,798fc7ff086d32c1a1a3437e1fe43fa14f822171,-64250.76171875,5,5,0.26493666287293943,0.06094695761597219,bi11-3_samples
2077,e2bce2077af1a5b23f1fc41fda69385d2e4cb2dc,-64250.32421875,2,2,0.005961529131545346,0.10103480186448337,bi11-3_samples
2078,860f222eb162eed056af89831716a5310c971743,-64249.875,5,5,0.21222923620312129,0.16257170653991526,bi11-3_samples
2079,a51034a599fefac88332ece96c552612dfe21a3f,-64250.5703125,5,5,0.2789849344766935,0.07485330827489077,bi11-3_samples
2080,15b1f813693acfd36de674cdf3d155be0d8f6718,-64250.453125,2,2,0.01566307432193381,0.11325009442801956,bi11-3_samples
2081,04b6bafb888621f6c47a2816c5b73dde1834402c,-64250.21875,2,2,0.41997801474186736,0.07493289491117057,bi11-3_samples
2082,efe0ff0915f6ba105efb50b45886830673814ab9,-64249.86328125,2,2,0.5942558926660887,0.14793190404886594,bi11-3_samples
2083,8d4d9856263d53e8df199f93843941ce324c2e53,-64250.515625,5,5,0.29088623660205565,0.08519045428897398,bi11-3_samples
2084,21571fd9e1c506b388f5159097dea588dca29735,-64250.33203125,1,1,0.0,0.0,bi11-3_samples
2085,cdc503e375856fad480850f2e621cf25ee8cb59e,-64250.1484375,1,1,0.0,0.0,bi11-3_samples
2086,35d21042b7507552c8da3b5ca76d11c8a374ee57,-64250.41796875,2,2,0.2399197030217796,0.08663389406373423,bi11-3_samples
2087,041ffad0557e61ab72813d0b3e30115ffcf6fb88,-64248.92578125,5,5,0.2501391204378546,0.1729853166170661,bi11-3_samples
2088,66824bd90356be6d948591c3e0c07d3d7410e90d,-64250.7578125,2,2,0.03920401986197037,0.1000956170790562,bi11-3_samples
2089,e7f76500197185d98687e9eff0e13e66cbe4f7af,-64250.6640625,2,2,0.019776010280488476,0.05995175488396034,bi11-3_samples
2090,90dc802822d17c3e152de402c4e43c40449aee70,-64250.13671875,3,3,0.2770570718092623,0.09692221408009635,bi11-3_samples
2091,36d1cc9c8c513cdd76857891aadcf822618cb263,-64250.5078125,1,1,0.0,0.0,bi11-3_samples
2092,4925043a5bb131db1617ce2be7184b01cda058b8,-64250.26953125,3,3,0.2555917753171329,0.09511006686748098,bi11-3_samples
2093,fce18f71f6d896b78cc4ec3c71f183db92e96db8,-64249.71875,3,3,0.24502858546453904,0.12109402260837848,bi11-3_samples
2094,5abc6ddf7632e1f2cf7e5723af11a2f98666ce48,-64250.01171875,2,2,0.1091339482418965,0.101760805524547,bi11-3_samples
2095,275ac9556c7ba50df8ba5fe608702296ee0cb5ba,-64250.5,5,5,0.28118070385232413,0.09651168398312907,bi11-3_samples
2096,dad595258ec048cf29e663debe9d3e1096f6aa7b,-64250.76953125,2,2,0.26997033942502346,0.10351954272017123,bi11-3_samples
2097,e8cc38ef37ce63a749360b682733659fd8c1c344,-64250.6015625,3,3,0.19970249237157642,0.08652604198112239,bi11-3_samples
2098,ef2fd06975f0f47d4703961cb93694b9b28d19d2,-64250.11328125,3,3,0.31592169292950906,0.09298140029465929,bi11-3_samples
2099,4cc7419946613fbf73b6ae88019e6db98f8aa855,-64250.828125,3,3,0.21136410368212713,0.06080394868854094,bi11-3_samples
2100,dbee3d47f74f1f6150d8a0e603f5a0da8b2b0cf1,-64250.1015625,5,5,0.31561596236110134,0.10856121373490998,bi11-3_samples
2101,1925b83b9eb189edca53ead25bbbb26a40d74ff9,-64249.84765625,2,2,0.33530968051121685,0.1684039902787953,bi11-3_samples
2102,1cde7f411fd3d159b6e995283807cb6881958766,-64250.71484375,3,3,0.27236433879129024,0.07076314733699295,bi11-3_samples
2103,73dc6d3ed4e95b761d3d7e20cd1d81efb666f0c8,-64250.50390625,2,2,0.1394151347131698,0.12854743815884903,bi11-3_samples
2104,71667a5e30d2a98ff81a892fedb505400aa3ca6c,-64249.87890625,2,2,0.010746528822272958,0.12370391691206613,bi11-3_samples
2105,39054e39620d4ed0a9d4af56f79dd3c02c394a91,-64249.51953125,5,5,0.2089937186474839,0.14326662454190975,bi11-3_samples
2106,198e5421910b4b5f871c8db73c077eff8da35c02,-64250.5390625,0,0,,,bi11-3_samples
2107,d575fd594ff97661cf458013fb9acebd39e41088,-64250.66796875,1,1,0.0,0.0,bi11-3_samples
2108,eb54a9e9aa541479d5ea68d2ff7b16a86d7b1028,-64250.04296875,4,4,0.20470131754442764,0.10658655141913821,bi11-3_samples
2109,08e6aad57899f8220acf4080c84bcf9c6caac5db,-64250.84375,3,3,0.2956515971089581,0.06655110091039536,bi11-3_samples
2110,e8426f302f3f3df2a0b05128f240a6590f4bf731,-64250.44140625,2,2,0.3798706417142829,0.07871512122129444,bi11-3_samples
2111,27236f396acfd72c0f8a67f07ad42785f454e01f,-64250.58984375,3,3,0.14905596914961816,0.07344543659989387,bi11-3_samples
2112,0e3442fed1d90d799ec320d6c03ca3fe5a83c321,-64250.51171875,2,2,0.12025631693993966,0.1087980638495595,bi11-3_samples
2113,77c3a4e79445867e7bf4664bb08061c31809bdcf,-64250.0546875,2,2,0.4439069278927536,0.09875554116989874,bi11-3_samples
2114,b313de3ed51e0ecdf4eb628af0896dfc9a1c5f59,-64250.25390625,1,1,0.0,0.0,bi11-3_samples
2115,70972846a07f1a2dc4a647675d50107b6505bd9a,-64250.66015625,3,3,0.1588892858558057,0.09444502976392632,bi11-3_samples
2116,ba27f8cd0c9d1cb640d786c12a18fdba0bc85671,-64249.99609375,1,1,0.0,0.0,bi11-3_samples
2117,600292888d8694b179a20b7f2b3964c42e26c3f8,-64250.25390625,3,3,0.20451359512954798,0.09118686170993034,bi11-3_samples
2118,d8dd19ca6609b8859787b885b76fe3ddb5454fda,-64250.6171875,2,2,0.15417802555224888,0.060653814622072616,bi11-3_samples
2119,3103649eea006423d7ead3777516e448652d08ab,-64250.359375,2,2,0.040731758394623424,0.05979601848780497,bi11-3_samples
2120,7d42881e8f9590d585e66d0316eea85e26336d12,-64250.5625,2,2,0.33798294179630356,0.13518743488461513,bi11-3_samples
2121,6b34b4116e195f79686a13649017e1d02501fd9a,-64250.33203125,2,2,0.19433523992925894,0.07872065841503127,bi11-3_samples
2122,8b2cd24b606453f789952d2919c8541112c06eb0,-64250.35546875,3,3,0.409793910764679,0.11666300918676308,bi11-3_samples
2123,0727ed2b5ba774e411ed45e07a33d3e3839d7b52,-64250.95703125,5,5,0.23862693911100033,0.07375251388292535,bi11-3_samples
2124,cb73b834751a2f07b39181d8f9afdc769e92a02a,-64250.5625,3,3,0.26732908803401606,0.06799508694218342,bi11-3_samples
2125,3b22e07a36880131daf6ff475382b7be891a0393,-64250.703125,2,2,0.0851927401936682,0.0627542520098104,bi11-3_samples
2126,d8f1c409b974e35a42597e4382bf6d247c9a7234,-64250.59765625,2,2,0.15883032635862393,0.07311272643175318,bi11-3_samples
2127,c092f960d283028df5d036f9745271e09cb500b5,-64250.60546875,5,5,0.20908663630061836,0.08621836027062324,bi11-3_samples
2128,0439f67f82f1fa7869b6a255b4bfe27ac1dd0940,-64250.38671875,1,1,0.0,0.0,bi11-3_samples
2129,3295cda4ef2ef9cdd349dc82ad9cfea5b28613f2,-64249.89453125,1,1,0.0,0.0,bi11-3_samples
2130,88462009d18d147e10499ddb1fdb167ccc69d7e8,-64250.34375,2,2,0.24052660031752898,0.11323089388766794,bi11-3_samples
2131,ce058cee9a64acc3b4e5439a30ba9f6627f03645,-64250.62109375,4,4,0.21443512092314929,0.09955157499014285,bi11-3_samples
2132,b84512cf2a7287d8161758e9a6e8d5afecb68047,-64250.015625,0,0,,,bi11-3_samples
2133,feb3af77fad63f00e4691657e7ee50299d6de24c,-64250.8359375,1,1,0.0,0.0,bi11-3_samples
2134,76020834fcd4861d845297f7f6e97ed6fcb6c591,-64250.2265625,1,1,0.0,0.0,bi11-3_samples
2135,67430c9ab7529208c717c81097702bf35a0a1ad9,-64250.78125,3,3,0.2926762927689389,0.05835438571073821,bi11-3_samples
2136,bff2398d9d0f68ee69339da783ad9d5703d7a579,-64249.9921875,1,1,0.0,0.0,bi11-3_samples
2137,177ed1de0362a4891b1102f35650c06dfff5a03c,-64250.41796875,3,3,0.13855850471267245,0.06960377843189929,bi11-3_samples
